LOCATION,TIME,LIFEEXP65 – WOMEN,LIFEEXP65 – MEN,TIME,USD_CAP,TIME,MLN_PER
AUS,2017,22.3,19.7,2018,54144.177019,2014,23.491
AUT,2017,21.5,18.5,2018,55528.86995,2013,8.46857
BEL,2017,21.9,18.5,2018,50442.053381,2014,11.22728
CAN,2017,22.1,19.3,2018,48106.911763,2014,35.54
CHE,2017,22.8,20,2018,67961.06003,2013,8.14
CZE,2017,19.8,16.2,2018,39740.849024,2014,10.52478
DEU,2017,21.2,18.1,2018,53749.441164,2014,80.896
DNK,2017,20.8,18.2,2018,55137.815103,2012,5.591572
ESP,2017,23.4,19.3,2018,39907.563338,2014,46.46405
EST,2017,20.8,15.6,2018,35498.182635,2014,1.315819
FIN,2017,22.1,18.4,2018,47946.243658,2014,5.472
FRA,2017,23.6,19.6,2018,45149.096054,2014,64.06225
GBR,2017,21.1,18.8,2018,45504.844246,2014,63.65001
GRC,2017,21.4,18.6,2018,29592.438388,2012,11.09
HUN,2017,18.4,14.5,2018,30665.501669,2014,9.863
IRL,2017,21.4,19,2018,83081.132162,2014,4.6099
ISL,2017,21.4,19.8,2018,57453.367882,2014,0.3273855
ISR,2017,21.9,19.3,2018,39835.041552,2012,7.9105
ITA,2017,22.4,19.2,2018,41626.025028,2014,60.44791
JPN,2017,24.4,19.6,2018,42823.090453,2012,127.515
KOR,2017,22.7,18.6,2018,40096.441649,2014,50.424
LUX,2017,21.7,18.6,2018,110906.3924,2014,0.5497
LVA,2017,19,14.1,2018,30697.938789,2012,2.034
MEX,2017,18.7,16.8,2018,20144.745005,2014,119.713
NLD,2017,21.2,18.7,2018,56325.699457,2012,16.75496
NOR,2017,21.6,19.3,2018,65602.902893,2014,5.137
NZL,2017,21.7,19.6,2018,40713.122221,2014,4.5097
POL,2017,20.2,15.9,2018,30988.486785,2014,38.484
PRT,2017,22.1,18.3,2018,33034.624126,2012,10.51484
RUS,2017,18,13.7,2016,24080.5,2013,143.507
SVK,2017,19.1,15.3,2018,33923.457111,2012,5.407579
SVN,2017,21.7,17.6,2018,38134.485845,2014,2.061623
SWE,2017,21.5,19.2,2018,52766.471992,2012,9.519374
TUR,2017,19.2,16,2018,28205.248684,2014,76.90287
USA,2017,20.6,18.1,2018,62479.726351,2014,318.857
